"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene63",0.099312019563068,0.222094180435886,-152.383645876904,-157.011189773497,7,2,460.977301679744,0,0,FALSE
"gene64",0.727939941359856,0.851391744280533,-139.098703936435,-140.507964461292,7,2,300.084579012347,0,0,FALSE
"gene65",0.671271372180385,0.813651779301264,-156.701017696895,-158.294224637162,7,2,616.384689345272,0,0,FALSE
"gene66",0.573315422943427,0.735577366635064,-132.281010169157,-134.198826136185,7,2,250.911101515307,0,0,FALSE
"gene67",0.0150079882274146,0.0450239646822437,-150.24562931767,-157.293873434196,7,2,417.031758615813,0,0,FALSE
"gene68",0.181244648908114,0.351931357103134,-164.224189775555,-168.011860323666,7,2,746.434687719151,0,0,FALSE
"gene69",0.565321285463447,0.732756177251404,-111.744749684034,-113.68988106187,7,2,82.4541639667406,0,0,FALSE
"gene70",0.778816763253963,0.887253631366565,-165.306423866175,-166.548709805822,7,2,841.686631144822,0,0,FALSE
"gene71",0.520790192335281,0.703770530182812,-145.807452294283,-147.908182791304,7,2,319.243142575178,0,0,FALSE
"gene72",0.226224854797309,0.410275141915557,-169.981807495996,-173.44465847586,7,2,779.53270057829,0,0,FALSE
"gene73",0.964373387120328,0.982383755979961,-146.026935963102,-146.515601435193,7,2,311.780893605071,0,0,FALSE
"gene74",0.790519196959754,0.887253631366565,-135.956246658684,-137.159451548698,7,2,312.86624097986,0,0,FALSE
"gene75",0.216509906328359,0.402185584510884,-144.556490698723,-148.084482620386,7,2,378.071399514009,0,0,FALSE
"gene76",0.297569848570547,0.487819423886143,-162.892405327218,-165.937352477038,7,2,888.091960094433,0,0,FALSE
"gene77",0.540374461626362,0.714006043585772,-165.38668512813,-167.418210277367,7,2,789.201893092852,0,0,FALSE
"gene78",0.765645159082679,0.886459012156251,-143.822611212497,-145.10851116666,7,2,341.363299127737,0,0,FALSE
"gene79",0.869059945174831,0.922895516999821,-168.454564260993,-169.381171280834,7,2,684.331200674784,0,0,FALSE
"gene80",0.293479582565288,0.482432190518282,-166.624905241557,-169.691469960861,7,2,872.767470496354,0,0,FALSE
"gene81",0.114072978485655,0.244442096754974,-151.7693438739,-156.207831366868,7,2,398.064878001532,0,0,FALSE
"gene82",0.68284742187014,0.817781343557054,-157.462940738266,-159.018538601615,7,2,680.281829665821,0,0,FALSE
"gene83",0.339456873303873,0.540249665735607,-150.066506175648,-152.902491325031,7,2,400.973323284193,0,0,FALSE
"gene84",0.786366631292798,0.887253631366565,-150.126142638356,-151.343255309235,7,2,339.083289632046,0,0,FALSE
"gene85",0.41647351790196,0.618044957778619,-155.114799271804,-157.61236959555,7,2,720.811501012953,0,0,FALSE
"gene86",0.784725676758,0.887253631366565,-129.394235069326,-130.616831107174,7,2,198.475786846844,0,0,FALSE
"gene87",0.40392781844736,0.608936409719638,-160.683774358943,-163.2332335635,7,2,671.02837274118,0,0,FALSE
"gene88",0.764720868692043,0.886459012156251,-117.109876326926,-118.398824060522,7,2,115.106021184987,0,0,FALSE
"gene89",0.815128048224263,0.897388676944143,-137.498021432119,-138.61771062686,7,2,214.968084631828,0,0,FALSE
"gene90",0.25020956612532,0.438964151097052,-117.436525322901,-120.748096811387,7,2,120.805258389769,0,0,FALSE
"gene91",0.821498746889979,0.899086673366424,-134.744915326552,-135.842620125844,7,2,230.746494470129,0,0,FALSE
"gene92",0.980785212527128,0.985229511901967,-110.747261637309,-111.116544782354,7,2,59.6916222653774,0,0,FALSE
