"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene48",0.43051510446624,0.507982424148955,-152.429759616581,-154.87050019677,7,2,409.534515286544,0,0,FALSE
"gene49",0.772734953569064,0.819877934821288,-161.484835343676,-162.747303718618,7,2,680.863390712168,0,0,FALSE
"gene50",2.32406310095628e-12,2.73419188347797e-11,-143.937142685473,-175.673227381329,7,2,353.628826698414,0,0,FALSE
"gene51",1.34082714616517e-14,1.84941675333126e-13,-129.770860423132,-166.890429700489,7,2,216.171419801355,0,0,FALSE
"gene52",4.82181939381138e-05,0.000183688357859481,-171.22699489462,-184.914258639706,7,2,1692.55278189142,0,0,FALSE
"gene53",7.0202050891341e-06,3.19100231324277e-05,-138.24058447207,-154.057498665992,7,2,328.404711203551,0,0,FALSE
"gene54",0.00785442708769633,0.0176503979498794,-145.672875518672,-153.507534456145,7,2,383.574406388306,0,0,FALSE
"gene55",6.22378729216849e-15,9.2204256180274e-14,-90.0608584489046,-127.979010029956,7,2,35.4666546378335,0,0,FALSE
"gene56",0.512331975654054,0.58054614804992,-115.45602436237,-117.58706572759,7,2,87.9396606808776,0,0,FALSE
"gene57",0.0071228590094147,0.0163242413897236,-129.07962367876,-137.031743521557,7,2,219.295562729652,0,0,FALSE
"gene58",0.00478346525509867,0.0116669884270699,-158.523506822948,-166.950931874262,7,2,728.626279240561,0,0,FALSE
"gene59",1.86764350348498e-05,7.62303470810194e-05,-162.573500504839,-177.312789320459,7,2,909.411540978578,0,0,FALSE
"gene60",4.52566868401735e-08,3.12115081656369e-07,-148.231091787866,-169.513784152482,7,2,712.314932817084,0,0,FALSE
"gene61",0.0166668385985728,0.0336703810072177,-163.756804274982,-170.676176478619,7,2,772.839708924308,0,0,FALSE
"gene62",4.5839835796585e-07,2.58252596037099e-06,-153.789514796203,-172.579029760908,7,2,602.267114823119,0,0,FALSE
"gene63",1.79316484776055e-06,9.43770972505553e-06,-141.348447676326,-158.65748474406,7,2,291.188663120707,0,0,FALSE
"gene64",0.0717035392208547,0.124969793849622,-140.328081134339,-145.391805554195,7,2,356.381394996121,0,0,FALSE
"gene65",1.91212377274851e-05,7.72575261716572e-05,-158.757537323208,-173.470812733918,7,2,844.369787891457,0,0,FALSE
"gene66",1.14747229461874e-14,1.63924613516963e-13,-119.536146513994,-156.817803421301,7,2,135.731363170683,0,0,FALSE
"gene67",0.268069335171663,0.356238319165001,-151.712203143824,-154.918763174589,7,2,425.187473899588,0,0,FALSE
"gene68",0.000938460578518102,0.0026435509254031,-155.302928022098,-165.633630577201,7,2,551.273991298037,0,0,FALSE
"gene69",0.650831029151481,0.715832039273269,-110.127052464359,-111.786889289102,7,2,82.7181051982178,0,0,FALSE
"gene70",2.14969948355107e-22,5.05811643188487e-21,-142.993887309568,-198.65653745106,7,2,423.506803004364,0,0,FALSE
"gene71",8.0652835653669e-47,8.0652835653669e-45,-112.320522747148,-225.273477702726,7,2,183.300109645993,0,0,FALSE
"gene72",0.311409403848843,0.40181858561141,-171.349775048251,-174.323279410852,7,2,913.188690067519,0,0,FALSE
"gene73",0.183482357602871,0.262117653718388,-138.736957471656,-142.506905647321,7,2,324.806723457838,0,0,FALSE
"gene74",0.0668974863617113,0.117364011160897,-151.267902102065,-156.423211219908,7,2,422.01856304769,0,0,FALSE
"gene75",0.329788496300707,0.420112734141029,-152.208901569149,-155.091268902882,7,2,484.809332368796,0,0,FALSE
"gene76",2.34308402004486e-22,5.20685337787748e-21,-142.171899662599,-197.746065989469,7,2,438.453074243077,0,0,FALSE
"gene77",0.024890104926428,0.0492873364879762,-178.329574591324,-184.751335584958,7,2,1425.00972322188,0,0,FALSE
"gene78",0.000842763843832189,0.0024078966966634,-156.242997988988,-166.697493613328,7,2,542.87679157565,0,0,FALSE
"gene79",0.00242672618705631,0.00645800989021589,-172.100211942892,-181.327861219753,7,2,1042.64504321763,0,0,FALSE
"gene80",0.000106941238713972,0.000365611072526399,-155.710029215832,-168.507197979134,7,2,609.601711486422,0,0,FALSE
"gene81",8.3321406344462e-06,3.66247939975657e-05,-150.733410159726,-166.362146408598,7,2,622.107283703247,0,0,FALSE
"gene82",0.817458107788887,0.851518862280091,-155.784412666005,-156.896080854041,7,2,634.300344330164,0,0,FALSE
"gene83",0.00680221918414092,0.0158191143817231,-143.562977146653,-151.57032902409,7,2,294.7330931711,0,0,FALSE
"gene84",7.64348104618628e-14,1.01913080615817e-12,-126.918790960017,-162.224698939647,7,2,215.825396269886,0,0,FALSE
"gene85",0.393392216106334,0.478288408639919,-157.748637764315,-160.342543612368,7,2,792.024732750282,0,0,FALSE
"gene86",4.46048631437284e-10,3.71707192864403e-09,-140.45176386441,-166.653072591311,7,2,370.982255229374,0,0,FALSE
"gene87",1.40211295269104e-08,1.03860218717854e-07,-148.904201241528,-171.440716070786,7,2,509.924135099964,0,0,FALSE
"gene88",0.00376995152944224,0.0093085222949191,-116.488427005304,-125.197951195288,7,2,108.932777708878,0,0,FALSE
"gene89",0.0321314106155894,0.0603406772123744,-131.202893770721,-137.303536429254,7,2,196.634097624632,0,0,FALSE
"gene90",0.371337183237769,0.455628445690514,-124.462459585767,-127.152222539031,7,2,142.064306990639,0,0,FALSE
"gene91",1.93827659499647e-05,7.7531063799859e-05,-147.321562942496,-162.019822375885,7,2,460.038723477688,0,0,FALSE
"gene92",2.42915687129351e-05,9.5261053776216e-05,-114.693118715729,-129.141624984451,7,2,98.2685452191721,0,0,FALSE
"gene93",2.65724536097824e-12,3.03685184111799e-11,-143.380181099226,-174.975847824976,7,2,367.20953225309,0,0,FALSE
"gene94",0.117254758986935,0.190658144694203,-156.891987178961,-161.292663050413,7,2,569.378655894364,0,0,FALSE
"gene95",0.00281555050297053,0.00740934342886982,-157.413560829649,-166.466935661638,7,2,579.937249261749,0,0,FALSE
"gene96",9.57893742608769e-09,7.22938673666996e-08,-150.186242013881,-173.129429466657,7,2,475.879155501635,0,0,FALSE
"gene97",9.21734054837528e-11,8.25425456526174e-10,-159.738876662588,-187.606045651312,7,2,983.67782275777,0,0,FALSE
"gene98",0.438584378579726,0.514468479272406,-142.538790249025,-144.947429879084,7,2,396.164804035113,0,0,FALSE
"gene99",1.44783338970931e-20,2.89566677941862e-19,-147.37340900224,-198.706952121457,7,2,497.906731181556,0,0,FALSE
"gene100",6.46557536410156e-06,3.00724435539608e-05,-147.579293995979,-163.486529622056,7,2,411.310151967736,0,0,FALSE
"gene101",5.06355274592526e-05,0.000189291691436458,-162.730004395439,-176.36278945068,7,2,948.297115593877,0,0,FALSE
"gene102",0.1802546369542,0.260835348154502,-148.18099315103,-151.976565373768,7,2,382.759371767319,0,0,FALSE
"gene103",0.0402156106079922,0.0734531700602597,-133.096462330127,-138.91175589533,7,2,223.882637786925,0,0,FALSE
"gene104",0.000451696293650644,0.00135848509368615,-159.311179861399,-170.479750366405,7,2,573.326853246077,0,0,FALSE
"gene105",2.73632474796728e-16,4.37811959674765e-15,-140.490367939313,-181.652939539812,7,2,339.409369154214,0,0,FALSE
"gene106",5.35201123083213e-06,2.57928252088295e-05,-148.181460998229,-164.295962166148,7,2,456.819124227938,0,0,FALSE
